Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	3.06797e-7
1.6e-7	2.949481e-7
3.2e-7	1.189243e-6
4.8e-7	1.577214e-6
6.4e-7	1.859152e-6
8e-7	-5.450092e-7
9.6e-7	-1.100706e-7
1.12e-6	-1.168471e-6
1.28e-6	-1.38255e-6
1.44e-6	-1.609824e-6
1.6e-6	-1.877099e-6
1.76e-6	-1.407931e-6
1.92e-6	1.992278e-7
2.08e-6	-2.20684e-6
2.24e-6	-7.929507e-7
2.4e-6	-7.43931e-7
2.56e-6	1.12622e-6
2.72e-6	2.743513e-6
2.88e-6	3.494467e-6
3.04e-6	2.942992e-6
3.2e-6	1.353163e-6
3.36e-6	3.403677e-6
3.52e-6	2.34359e-6
3.68e-6	2.059704e-6
3.84e-6	2.484853e-6
4e-6	2.238138e-6
4.16e-6	5.394839e-7
4.32e-6	1.945522e-6
4.48e-6	1.333457e-6
4.64e-6	1.237892e-6
4.8e-6	1.415329e-6
4.96e-6	-1.383271e-6
5.12e-6	7.003262e-7
5.28e-6	1.610837e-8
5.44e-6	-3.20096e-8
5.6e-6	-5.449e-7
5.76e-6	-3.247963e-7
5.92e-6	-1.991075e-6
6.08e-6	-2.468153e-6
6.24e-6	-3.354628e-6
6.4e-6	-3.615768e-6
6.56e-6	-4.90983e-6
6.72e-6	-5.236779e-6
6.88e-6	-7.718913e-6
7.04e-6	-6.568046e-6
7.2e-6	-4.646276e-6
7.36e-6	-5.11321e-6
7.52e-6	-5.231625e-6
7.68e-6	-3.859635e-6
7.84e-6	-1.768799e-6
8e-6	-1.847639e-6
8.16e-6	-1.270484e-7
8.32e-6	-1.474658e-6
8.48e-6	-2.590857e-7
8.64e-6	-7.989977e-7
8.8e-6	-6.429271e-7
8.96e-6	-1.256216e-6
9.12e-6	-3.032398e-6
9.28e-6	-3.94611e-6
9.44e-6	-4.63657e-6
9.6e-6	-6.956854e-6
9.76e-6	-8.53413e-6
9.92e-6	-8.26311e-6
1.008e-5	-9.242639e-6
1.024e-5	-8.963534e-6
1.04e-5	-1.071009e-5
1.056e-5	-1.149463e-5
1.072e-5	-1.152948e-5
1.088e-5	-1.189864e-5
1.104e-5	-1.161411e-5
1.12e-5	-1.097045e-5
1.136e-5	-1.081555e-5
1.152e-5	-1.104396e-5
1.168e-5	-1.080977e-5
1.184e-5	-1.0435e-5
1.2e-5	-9.90397e-6
1.216e-5	-1.050578e-5
1.232e-5	-9.643778e-6
1.248e-5	-9.322911e-6
1.264e-5	-8.063364e-6
1.28e-5	-5.566381e-6
1.296e-5	-4.837438e-6
1.312e-5	-2.133129e-6
1.328e-5	-1.746699e-6
1.344e-5	-1.390887e-7
1.36e-5	-5.242141e-7
1.376e-5	1.607136e-7
1.392e-5	1.106846e-6
1.408e-5	1.195501e-7
1.424e-5	3.157949e-7
1.44e-5	5.324273e-7
1.456e-5	9.806238e-7
1.472e-5	-3.587054e-7
1.488e-5	-7.678386e-7
1.504e-5	2.173026e-7
1.52e-5	3.699969e-7
1.536e-5	-6.749225e-7
1.552e-5	-1.779156e-6
1.568e-5	-1.888893e-6
1.584e-5	-1.229829e-6
1.6e-5	-8.080939e-7
1.616e-5	1.25422e-6
1.632e-5	2.653673e-6
1.648e-5	2.589425e-6
1.664e-5	2.796315e-6
1.68e-5	4.346764e-6
1.696e-5	4.791811e-6
1.712e-5	3.967224e-6
1.728e-5	3.324402e-6
1.744e-5	6.121077e-6
1.76e-5	8.591473e-6
1.776e-5	7.156207e-6
1.792e-5	3.983132e-6
1.808e-5	4.235705e-6
1.824e-5	4.512638e-6
1.84e-5	6.017669e-6
1.856e-5	5.311524e-6
1.872e-5	4.646557e-6
1.888e-5	5.069959e-6
1.904e-5	4.074861e-6
1.92e-5	3.82222e-6
1.936e-5	5.117861e-6
1.952e-5	2.980154e-6
1.968e-5	3.315233e-6
1.984e-5	4.410079e-6
2e-5	4.618447e-6
2.016e-5	1.745033e-6
2.032e-5	1.868116e-6
2.048e-5	-4.859688e-7
2.064e-5	-2.036764e-6
2.08e-5	-1.842288e-6
2.096e-5	-3.11441e-6
2.112e-5	-3.671129e-6
2.128e-5	-3.863363e-6
2.144e-5	-2.75067e-6
2.16e-5	-3.99353e-6
2.176e-5	-4.918585e-6
2.192e-5	-4.189413e-6
2.208e-5	-5.020272e-6
2.224e-5	-5.97697e-6
2.24e-5	-7.661703e-6
2.256e-5	-7.825769e-6
2.272e-5	-5.818256e-6
2.288e-5	-7.767776e-6
2.304e-5	-8.795363e-6
2.32e-5	-5.120328e-6
2.336e-5	-5.232147e-6
2.352e-5	-6.230851e-6
2.368e-5	-6.578563e-6
2.384e-5	-6.894163e-6
2.4e-5	-5.592112e-6
2.416e-5	-5.025652e-6
2.432e-5	-3.79739e-6
2.448e-5	-5.87633e-6
2.464e-5	-6.88634e-6
2.48e-5	-6.741398e-6
2.496e-5	-6.967245e-6
2.512e-5	-5.602138e-6
2.528e-5	-2.982187e-6
2.544e-5	-7.721842e-7
2.56e-5	-6.610636e-7
2.576e-5	-2.582846e-6
2.592e-5	-4.097697e-6
2.608e-5	-8.972152e-6
2.624e-5	-7.236099e-6
2.64e-5	-5.173231e-6
2.656e-5	-5.797169e-6
2.672e-5	-5.943608e-6
2.688e-5	-5.402857e-6
2.704e-5	-4.655465e-6
2.72e-5	-1.539405e-6
2.736e-5	-2.722873e-7
2.752e-5	9.541039e-7
2.768e-5	1.192258e-6
2.784e-5	2.323797e-6
2.8e-5	1.354562e-6
2.816e-5	4.280668e-6
2.832e-5	4.797153e-6
2.848e-5	6.147277e-6
2.864e-5	3.510911e-6
2.88e-5	6.431963e-6
2.896e-5	7.308769e-6
2.912e-5	5.926567e-6
2.928e-5	5.927395e-6
2.944e-5	4.3924e-6
2.96e-5	3.765429e-6
2.976e-5	1.135332e-6
2.992e-5	-6.109909e-7
3.008e-5	-1.285953e-6
3.024e-5	-1.37204e-6
3.04e-5	4.07374e-8
3.056e-5	-2.464354e-6
3.072e-5	-4.299538e-6
3.088e-5	-3.18069e-6
3.104e-5	-3.68478e-7
3.12e-5	-1.203341e-6
3.136e-5	-2.848253e-7
3.152e-5	-6.921501e-7
3.168e-5	-1.764337e-7
3.184e-5	3.666412e-7
3.2e-5	-2.852997e-6
3.216e-5	-2.880863e-6
3.232e-5	-3.240972e-6
3.248e-5	-1.801182e-6
3.264e-5	-1.351478e-6
3.28e-5	5.436597e-7
3.296e-5	4.032717e-7
3.312e-5	2.110243e-6
3.328e-5	2.707934e-6
3.344e-5	1.052661e-6
3.36e-5	-3.629198e-6
3.376e-5	-3.023985e-6
3.392e-5	-2.382108e-6
3.408e-5	-1.369976e-6
3.424e-5	-4.81939e-8
3.44e-5	1.122817e-6
3.456e-5	-2.923001e-7
3.472e-5	-1.537514e-6
3.488e-5	-2.628171e-6
3.504e-5	-4.008338e-6
3.52e-5	-5.252058e-6
3.536e-5	-6.05873e-6
3.552e-5	-6.710646e-6
3.568e-5	-6.725009e-6
3.584e-5	-7.759939e-6
3.6e-5	-9.524127e-6
